title,content,comment number,link
怎么给戴的bra的女性做CPR？,鸡糟的黄医桑：为毛要邀请我回答这种问题？ 我是正经医生，不开车的(๑˙ー˙๑) 自己看图啊—— CPR按压部位在胸骨，带不带文胸都不影响的。 而且我可以告诉你，正真抢救病人的时候，脑子会进入…贤者时间的…阅读全文,75 条评论,https://www.zhihu.com/question/56807265/answer/155707217
CPR培训里，为何不把人偶加上乳房和内衣，再加上解内衣的步骤，毕竟给女生做心肺复苏更复杂吧？,CPR培训里，为何不把人偶加上乳房和内衣，再加上解内衣的步骤，毕竟给女生做心肺复苏更复杂吧？如果没有经验，生活中突然换成女生，走了两个乳房障碍物，就会手足无措，不知道手放到哪里，而且，解内衣对于单身男人也是难题,,https://www.zhihu.com/question/461453041
女生最让男生心动的瞬间是什么？,"用AED（心脏起搏器）时
好吧做CPR（心肺复苏）的时候也有很大可能令人心动",1 条评论,https://www.zhihu.com/question/301768678/answer/1047039883
要不要给路上遇到的昏倒女性做CPR，即心肺复苏？,我们会有猫的：终于遇到与本专业有关可以回答的题了！！！ 在中国受过专业心肺复苏训练的人不到百分之一，所以如果遇到有路人心脏骤停时很难有人能正...阅读全文,3 条评论,https://www.zhihu.com/question/29457803/answer/44436463
女朋友是护士经常会给别的异性做人工呼吸，有点接受不了怎么办？,malus：在医院的话多半直接拐急救进icu了，哪轮得到您女朋友做人工呼吸呢？ 在室外？那没见过几次的需要CPR的病人要么路人给紧急做个CPR要么急救大夫用专门的除颤器，新一版红十字急救指南上都写着非必须情况可以不进行人...阅读全文,6 条评论,https://www.zhihu.com/question/478361963/answer/2069224432
如何看待火车站女大学生行CPR跪地救人的微博评价？,"不邀自来。
利益相关：曾经的4年临床急诊ICU护士。
首先，对楼主被责骂表示同情。没错，这件事的初衷和结果是救人！！抛去其他不谈是必须给救人妹子点个赞的。
但，楼主在微博说的话是没有错的，而且，是很专业的说对了，也许说的人多了，让一些人觉得一帮人总在强调专业的抢救方法，但实际上，大部分人在强调正确的抢救方法时，并没有否定这个救人妹子的好心，至少对她是有赞扬的。但赞扬不代表对操作给予了肯定。

生命，是珍贵的，因此当知道老爷爷突然倒下来的时候这个妹子才会第一时间冲出来吧，但，正是因为生命是珍贵的，所以在命危的时候要采取正确的急救方法，才能提高抢救成功率，有时候，错误的操作不但救不了人，反而会把人命推进地狱。生命是这么沉重的东西，作为医护人员，是背着多么大的责任在进行抢救和治疗患者的啊。所以，微博评论说”医学生的角度.........“是十分理解的，”不是说她不好，而是应该可以更专业。

楼主并没有说错 ，而且语气也没有任何贬义，我真不知道，为何被说“教条主义”，医学是那么严谨的东西，居然用“教条主义”来批判？！

另外，教条主义的定义是：

教条主义（Dogmatism）普遍意义上讲为，不分析事物的变化、发展，不研究事物矛盾的特殊性，只是生搬硬套现成的原则、概念来处理问题。
教条主义亦称“本本主义”。主观主义的一种表现形式。社会科学方面教条主义的主要特点是，理论与实践相分离，主观与客观相脱离，轻视实践，轻视感性认识，夸大理性认识的作用。把马克思主义的书面个别词句当作僵死的教条，生搬硬套，拒绝对具体问题进行具体分析，反对把马克思列宁主义的普遍真理与中国革命的具体实践相结合。形式主义地、盲目地、表面上完全无异议地执行上级的指示，而不将上级指示与本地区本部门本单位的具体实际相结合。
在中国共产党历史上，教条主义不懂得马克思主义普遍真理必须同中国的具体实践相结合，曾给革命和建设带来严重危害。

是想说楼主只会”掉书袋“吗？如果是，那么用“教条主义“用错了啊哈哈。

后面去翻看了下微博，有个评论不错：
雨桐Olivia：做cpr时应该在患者身侧，而不是跨在患者身上（答主补充，通常在患者右侧进行操作，临床上会出现双人交替接力的情况，这时会有另一人在对侧待命）。吹气要保持呼吸道通畅，抬下颚捏住鼻子，观察胸廓起伏，判断吹气效果，也不是什么1～8的数数，每按30下吹两下。还是要全民推广正确的姿势方法，中国在这方面实在是不足，基本除了医务人员和相关人员外没几个会的，依旧要为这位姑娘鼓掌，多亏了有她！
但事实上，必须要进行心肺复苏术时的条件和操作标准是怎么样的呢。
心肺复苏，如字面所示，心脏和肺，这两个脏器的功能复苏，既然要复苏，那么就说明不能运作了才要复苏，也就是说，在行使操作之前，要先判断患者是否呼吸、心脏跳动停止。
就以我所在科室ICU来说，患者都装了心电监护仪器，可以检测心律和呼吸，医护人员可以从显示屏上直观的了解到病人的心脏和呼吸情况。
但，在外面的话如何呢？（摘自百科，节选）
1、评估和现场安全：急救者在确认现场安全的情况下轻拍患者的肩膀，并大声呼喊“你还好吗？”检查患者是否有呼吸。如果没有呼吸或者没有正常呼吸（即只有喘息），立刻启动应急反应系统。BLS程序已被简化，已把“看、听和感觉”从程序中删除，实施这些步骤既不合理又很耗时间，基于这个原因，2010心肺复苏指南强调对无反应且无呼吸或无正常呼吸的成人，立即启动急救反应系统并开始胸外心脏按压。
在视频中是没看到救人的妹子这么做，直接冲上来就跪在爷爷身上开始按了，另外“到30了就告诉我啊？”这是什么？普通人不好说，但妹子是医学生吧，不出于谴责性目的，就客观的从医学角度，这是非常不正确而且是很危险的操作！！！！好心是好心，爷爷回过来了当然皆大欢喜，如果人没回过来呢，舆论走向会如何？这就是 ，生命的珍贵和沉重，微博上那些专业分析的角度不外乎就是希望更多人看到，要用正确的抢救生命，不然纵使你出于好心，如果好心办成了坏事，这份沉重，将如何背负！！微博一堆看客根本就无法感受这份重量，所以才能轻轻巧巧的说出那么批判性的话，这是多么让人觉得“啊 社会现状真让人失望”。
3、脉搏检查：对于非专业急救人员，不再强调训练其检查脉搏，只要发现无反应的患者没有自主呼吸就应按心搏骤停处理。对于医务人员，一般以一手食指和中指触摸患者颈动脉以感觉有无搏动（搏动触点在甲状软骨旁胸锁乳突肌沟内）。检查脉搏的时间一般不能超过10秒，如10秒内仍不能确定有无脉搏，应立即实施胸外按压。

4、胸外按压（circulation, C）：https://baike.baidu.com/item/胸外心脏按压/10729451
1.患者体位
患者仰卧于硬板床或地上，如为软床，身下应放一木板，以保证按压有效，但不要为了找木板而延误抢救时间；
2.抢救者体位
抢救者应紧靠患者胸部一侧，为保证按压时力量垂直作用于胸骨，抢救者可根据患者所处位置的高低采用跪式或用脚凳等不同体位；
3.确定按压部位
正确的按压部位是胸骨中、下1/3。具体定位方法是，抢救者以左手示指和中指沿肋弓向中间滑移至两侧肋弓交点处，即胸骨下切迹，然后将示指和中指横放在胸骨下切迹的上方，示指上方的胸骨正中部即为按压区，将另一手的掌根紧挨示指放在患者胸骨上，再将定位之手取下，将掌根重叠放于另一手手背上，使手指翘起脱离胸壁，也可采用两手手指交叉抬手指。抢救者双肘关节伸直，双肩在患者胸骨上方正中，肩手保持垂直用力向下按压，下压深度为4～5厘米，按压频率为80～100次/分钟，按压与放松时间大致相等。对儿童进行闭胸心脏按压时，按压部位与按压频率与成人相同，但按压深度为3厘米，动作要平稳，不可用力过猛。如胸外心脏按压的对象是婴儿，其操作与成人及儿童有一定区别。婴儿的按压部位在胸骨上两乳头连线与胸骨正中线交界点下一横指，抢救者用中指和无名指按压，按压深度为2厘米，按压频率100次/分钟以上，不可用力过猛。

按压技术要求

正确有效的按压技术要求是：
1.抢救者的上半身前倾，两肩要位于双手的正上方，两臂伸直，两肘关节不可弯曲。利用上半身的体重和肩、臂部肌肉的力量，垂直向下按压，不可偏向一侧或左右摇摆；（答主补充，临床上我们常说的”三点一线“，即”交叉叠加的手掌“ “手肘” “肩”要保持在同一条线上并与患者胸部成90°。）
2.按压应平稳，用力要均匀，有规律地按压，不能间断；
3.每次按压后，要全部放松，使胸部恢复正常位，务使胸骨不受任何压力。放松时注意定位的手掌根部不要离开胸骨定位点。判断按压是否有效，如有两名抢救者，在一人按压时，另一人应能触及颈动脉或股动脉搏动。

切入追加：胸外心脏按压的注意事项及常见错误有哪些?_百科TA说
胸外心脏按压如操作不标准，常会导致并发症的发生。
①按压部位不正确。向下错位时则受压部位为剑突，可至剑突受压折断，肝脏受冲击破裂或胃部受压导致呕吐；定位向两旁偏移或按压时手指没有翘起时则易至肋骨骨折及连枷胸，导致气胸、血胸。所以按压前一定要按照标准的方法进行定位，手掌根部的长轴应与肋骨的长轴平行，不要偏向一旁，手指、手心翘起，避免接触和按压肋骨或肋软骨；
②抢救者按压时肘部弯曲，导致用力不垂直，按压力量不足，按压深度达不到4～5厘米。正确的方法是抢救者双臂绷直，双肩在患者胸骨上方正中，垂直向下用力按压，按压时可利用髋关节为支点，以肩、臂部力量向下按压；
③冲击式按压、猛压、揉面式、摇摆式、搓搓板式、按压放松时抬手离开胸骨定位点，导致下次按压部位错误等情况，均可由此引起骨折。正确的方法是按压要平稳，垂直用力向下，有规律的进行，不能间断，不能左右摇摆，不能冲击式地猛压。按压与放松时间应大致相等。放松时定位的手掌根部不要离开胸骨定位点，但应尽量放松，使胸骨不承受任何压力，否则，心脏则不能充分舒张，从而导致血液回流障碍，影响心脏按压的效果；
④放松时未能使胸部充分松弛，胸部仍在承受一定的压力，影响血液回流；
⑤双手手掌不是重叠放置，而呈交叉放置。此外，按压时要注意不要不自主的加快或放慢两手掌，否则影响按压效果。
扯远了，只是想向大家普及下急救知识，虽然很多时候按压先是医生上场，但护士的我们经常接力。
言归正传，题目是 如何看待火车站女大学生行CPR跪地救人的微博评价？

首先，对救人妹子的热心，好心，善良行为给予赞扬和肯定，但，不支持和不宣传也这么做，我可承担不起生命的责任。
其次，对微博上的专业人员分享的专业急救知识点个赞，如果那些专业人员仅仅是卖弄知识而抨击救人的妹子的话，那么我觉得作为医护人员是有失医德的，毕竟，医生的本质在救人。
最后，对那些恶意放大并攻击本着好意宣传专业知识的喷子们，我只想说，当换作是你最在乎的人被不正规的操作弄死了本来有很大机会救回来的亲人，我想看看你什么反应？
在最后，对那些“你行你上啊”“有本事当时在场”诸如此类的评论，简直是气打一处来，只觉得这个社会有这样的人存在的现状真让失望。
问一句：你们，真的知道生命的重量吗？",8 条评论,https://www.zhihu.com/question/286371378/answer/449370844
怎么给女人做胸外按压？,滴血雄鹰：晕死。。。题主这个问题问的。。。 正常CPR该咋做就咋做，急救面前无性别。阅读全文,添加评论,https://www.zhihu.com/question/278492847/answer/401608155
假如你是一个本科刚毕业的医学生，路上突然有人需要CPR，你会怎么办？,"讲一个真实的案例。
一个医生，出去游泳，遇到人溺水，CPR之后把溺水的人拖回医院抢救，没抢就回来，被病人家属告了，理由是在非执业地点行医。然后认罚，赔钱。
评价里有同业者可能不太相信这个案例，确实非杜撰，零几年年会的时候听武汉市中建三局医院的医生讲的，问该院的老医生应该都有印象。
也可能是现在法制确实在改进，而我久不沾临床，没与时俱进。你们不相信的这些案例，我就真遇到过。
从医者年数越长，好事坏事都能遇上，看运气。不能因为你运气好了，遇到的都是好人，而觉得这个世道就是璀璨光明，或者因为你运气差了，遇到的是坏人，就觉得这个社会阴暗。我有遇到打砸护士站的，但也有遇到病人家属，看我们深夜泡面，跑了好远，给我们买夜宵的。这对于医生这个整天和人打交道职业来讲，当然好坏的几率都很大。
结果不可预知，人性也不可预知。遇到一个就够你怀疑人生的。
患者自己走下飞机，深圳地铁站外女性猝死行人纷纷走避，老人街头摔倒被栏杆夹住窒息死亡无人施救.....
真的能数出一大堆，大家都是趋吉避凶，但你能说大家都是道德低下？同理到医学生，没必要道德绑架。如果他们这么做了，我会觉得很美好，因为我自己，我家人也难免会有遇上不测的时候，对社会还是有期待的，但是不做，我觉得也是情有可原的。你挺身而出你高尚，但对别人说什么不理解就没必要了。
有一年我在成都回武汉的火车上响应了列车员呼叫被我同事说了三天。想一下，也许遇上这样的事情我还会站出来，毕竟就算是撞大运，也没有那么多无理取闹的病人和家属，怕的只是极个别奇葩。不过也许就不会了。但叫我鼓励年轻医生尤其医学生这么做我真是做不到的。因为其实医学生本身是有很大热情的，20来岁的年纪，时不时还穿白大褂宣誓，说没有热血我是不信的。
这种社会现象不改观，光指望在这个答案里医生输出点正能量，还真的让人有点绝望呢。",11 条评论,https://www.zhihu.com/question/433206267/answer/1613292433
为失去意识者做cpr（心肺复苏）急救是什么的体验？,Jay-朱老师：做救生员的时候，一名小女孩在池底飘着，当时以为在憋气，数了5s之后无反应，果断调下池子，捞起来之后，嘴唇发紫，四肢僵硬，全...阅读全文,添加评论,https://www.zhihu.com/question/28932900/answer/1396043731
cpr在胸部骨折情况下能不能用？,得看情况啊，经验丰富操作熟练的人一般是不会把正常人的肋骨摁断的，即使按压深度达标准5CM，在15--18S之间做30个胸外按压。是在三分钟内做五组啊，只有三分钟，是千钧一发决定生死的时刻，即使存在骨折然后穿破肝脏或其它内脏等并发症，可此刻救过来以后还有被救的机会，否则早翘翘……要那么完整的胸骨干嘛人都没了。,添加评论,https://www.zhihu.com/question/63705588/answer/375378577
