title,location,img,link
心肺复苏模拟人CPR490急救训练假人医学用人工呼吸演练人体模型,浙江 温州,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i3/2917370030/O1CN01YxR1yS1C5mgB1lV3e_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=201903596&k=961&e=HDkZ6mFRHIGNgSqA9GLxjXiM2aVg9F6HLSTq6Be9rMR1WgeeH2YO03u6k80t%2F%2BgAULmKVrItIbItQ134jf4bpXiG4zqT%2FxFY%2FnuaIPONL%2B%2FUIG0YCFqefzncQQztstvVS%2FkpreqsblwBTNtpbu9y%2Bmu8ktxjOUd%2FzSfFba9%2FZKX%2BB%2FzXyFVqAFyFlt4hHxdG5ajWgqVyYVAGAOdshokEArY3H8RroUyVl8gzgl4ycLEmVnq9xoNEdhA2nSL4pXYmLCyyqGk7HPrEImbjw6Et48Jb0%2FiVMpDZnoICOwOnYmyCKDIwFzqb7GxNexRN%2B7BvM0HpkFehuq%2FiDww%2BWZMkGIVCx%2BoD1feqH79NgkFCXzUdJaJuQJNs9%2F4nSUzVeIzyDVmF0Q3lBOA86%2BYSjSxshTJypepwl8oBU6K1ekbty2vmY7IdFWO6ysj8nsQzc51cFjZX6f9DaZ8imIpLv17jSVV4JOKySnvCZv2EpEtQnKio6r4yFu%2BC9dWlEHOOWGMIfCR%2Bf0076w3z%2Fc3NzyKrpf2FXhaYBeaTD0mffjh8HBdf%2FIYB2tSnNul%2Ffrb%2BkxuRXJLhWuHoBSiF2QrV1yQL%2B%2BDhSC1PvvgG%2F%2BxaO7hT9sv9tQQMUCbwSDK2u70MEEoGIxj40V41I5Z9UayeTxmkBTYfsCUtUtJmhYquLSA1Fr3mjNTUq2WIA9973NL0KXDJO6hu4Af95DdUbSJQrZERePjns%2Bb6ms%2FooNCq1hVKcp1Y%2FJwOmnBR8q8FAEhc%2FrV4ua7FdArc%2FHNz%2FjZ%2Ff0BiiZTpQrNTTw%2BSU87UqYT1g%2BS%2BSp%2BjckUPseoEynLH%2B%2FFBZq18ESLL9GqTI7DZS56KbSLBStRBaVVXomi0iIXW05IWQp0euyNxIitQPXo%2BDgrft8w2iCCTc8T0F80fPi5IQ25jYsfoosYy0Z72HLINAXu%2FQDG0oB9aGGaaUu2CKki1#detail
养老护理模拟人训练人体模型输液打针男女导尿插胃管心肺复苏假人,浙江 温州,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/2917370030/O1CN01n4GOI01C5mf7PoLKI_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=201903596&k=961&e=rFZj3pmr%2BPCNgSqA9GLxjXiM2aVg9F6HLSTq6Be9rMR1WgeeH2YO03u6k80t%2F%2BgAULmKVrItIbItQ134jf4bpTuxe2rUk7N%2B%2FnuaIPONL%2B%2FUIG0YCFqefzncQQztstvVS%2FkpreqsblwBTNtpbu9y%2Bmu8ktxjOUd%2FzSfFba9%2FZKX%2BB%2FzXyFVqAFyFlt4hHxdG5ajWgqVyYVAGAOdshokEArY3H8RroUyVl8gzgl4ycLEmVnq9xoNEdhA2nSL4pXYmLCyyqGk7HPrEImbjw6Et48Jb0%2FiVMpDZnoICOwOnYmyCKDIwFzqb7Ec7gY0u5YzbD1AVOuBPFnHiDww%2BWZMkGNYmD10W1o4aQwFV0nFk3PA4q2N8ru5lA%2BW%2BQeQlpnsofgDfvi3rew486%2BYSjSxshTJypepwl8oBU6K1ekbty2vmY7IdFWO6ysj8nsQzc51cv80c5tBkpKkx7e%2FWXfEvK1V4JOKySnvCZv2EpEtQnKg4xuk006YOSN671BiO3XFWfCR%2Bf0076w3z%2Fc3NzyKrpf2FXhaYBeaTD0mffjh8HBdf%2FIYB2tSnNul%2Ffrb%2BkxuRXJLhWuHoBSiF2QrV1yQL%2B%2BDhSC1PvvgG%2F%2BxaO7hT9sv9tQQMUCbwSDK2u70MEEoGIxj40V41I5Z9UayeTxmkBTYfsCUtUtJmhYquLSA1Fr3mjNTUq2WIA9973NL0KXDJO6hu4Af95DdUbSJQrZERePjns%2Bb6ms%2FooNCq1hVKcp1Y%2FJwOmnBR8q8FAEhc%2FrV4ua7FdArc%2FHNz%2FjZ%2Ff0BiiZTpQrNTTw%2BStb9yWA43gRQJL%2FDG06xBNOoEynLH%2B%2FFBH7DlNRsDBENxaF5kzRk2DiLBStRBaVVXomi0iIXW05IWQp0euyNxIitQPXo%2BDgrft8w2iCCTc8T0F80fPi5IQ25jYsfoosYy0Z72HLINAXu%2FQDG0oB9aGGaaUu2CKki1#detail
心肺复苏模拟人急救模型全身半身品质保证,上海,https://g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/1815020135/O1CN01kkz8j31Crs9dMvRMG_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,https://click.simba.taobao.com/cc_im?p=cpr%BC%D9%C8%CB&s=201903596&k=1005&e=XqhsacMo3RyNgSqA9GLxjXiM2aVg9F6HLSTq6Be9rMR1WgeeH2YO03u6k80t%2F%2BgA1JMf2GZ4W%2B4vyaVCt9Zc1jW8mWxhcPni%2FnuaIPONL%2B%2FUIG0YCFqefzncQQztstvVS%2FkpreqsblwBTNtpbu9y%2Bmu8ktxjOUd%2FzSfFba9%2FZKX%2BB%2FzXyFVqAFyFlt4hHxdG5ajWgqVyYVAGAOdshokEArY3H8RroUyVl8gzgl4ycLEmVnq9xoNEdhA2nSL4pXYmLCyyqGk7HPrEImbjw6Et48Jb0%2FiVMpDZnoICOwOnYmyCKDIwFzqb7I2wq%2B6TvM4YuJWd9s%2FcCY3YOrTGsOcIVgxwPb9uL%2FaMQCLm1GkOkt1nfEAjQtEEO5pMvp5V9qmnrqyoFFa5plI86%2BYSjSxshSNTA%2BS7gyG%2FatZLx9VDf206sO8hXZ6KKJSGN4wVWf1Jkk2YHhi7ZZSMTFvOgLPBTduU8%2FqEOMPfD8bdAs33NzIuCM27yVLhACI1ANL1fm1Lt%2BBkqfG%2BMOuoqm3Pm8jOplNjfZJoozix%2BcsLTuzUxo8O16Hz6ElYLAIREcRouOyxRU8OVdGNmXo%2BHC%2FKwGnqKyedCmm%2BiTBTpcRZMqP8Yo1lbetkDYDClDMJd8voJjO1Q8yQStS3cVjUZadd1%2FYGmW4XMErxHZThj5qh8KJtSFhXf65yLBxLPJCWqPZrKdeOxOzp9SfYjFWbjXZD4hKWQCirnO%2Bn6uHpYgc5dvH%2FUmtlig3h63qRcj5%2BEjUK2fnLvewUGRBSGArBjiKyxdqBg8RWenCmmh%2Fg%2BzlvlQ0T6RRz%2FjZ%2Ff0BiiQ3Ab933HJsgPvmJGJ2u3tKiVZruE15W4f3PXKsdXWTfR8q5z2aWVu00AQ%2B35ADoODWW9Z8SXHd4AHPFoIcP1Qgkt89g9ifPLOYvRFfuyYA%2BXNXPH0YkvYMfjWDoQbSDjb16yJ1crkqSbfe3Jq0Fmr9GVb3Ib2zg2Z3wAiccroTQhDx%2FcLHy%2B1g%3D
心肺复苏模拟人医学用CPR教学模型人工呼吸假人急救橡皮人模拟人,天津,https://g-search1.alicdn.com/img/bao/uploaded/i4/i4/2214650202009/O1CN014B7OFE1QiATtFpQJI_!!2214650202009.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=685503559708&ns=1&abbucket=16#detail
医训心肺复苏模拟人全半身CPR急救训练模拟人操作安全培训模特应急救援橡皮人工呼吸训练习假人体模型,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2211549081600/O1CN01SOnNQz1NgqPephRqX_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=643329241403&ns=1&abbucket=16
心肺复苏模拟人半身全人工呼吸心脏按压急救演练假人模特型CPR690,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/410896281/O1CN01LWHkhn1wGkOTOMUxm_!!410896281.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=39147117253&ns=1&abbucket=16#detail
半身心肺复苏模拟 人医用假人CPR急救训练人体模型模具全身心复苏,北京,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/4043179460/O1CN016VDD4c2JkjLyI4tD0_!!4043179460.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=582446154226&ns=1&abbucket=16#detail
CPR人工呼吸训练心肺复苏模拟人全身医用假人半身急救假按压人体模型人训练教学,北京,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2207767347679/O1CN01RHERWa26b2BL4OqWz_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=617157267119&ns=1&abbucket=16
CPR心肺复苏模拟人急救医学用全身人体教学半身模型人工呼吸假人,北京,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/3169896178/O1CN01ISc48V1vVZhTXM56Q_!!3169896178.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=622157601976&ns=1&abbucket=16#detail
全身心肺复苏模拟人CPR医学演练假人工呼吸半身教学急救培训模型,北京,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/4069891081/O1CN01xGIubP1Jr8tlEcrL3_!!4069891081.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=622400192412&ns=1&abbucket=16#detail
心肺复苏模拟人 CPR急救橡皮假人体按压人工呼吸器全半身教学模型,广东 广州,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/3010813050/O1CN01X7aNok1YOwaO7FBFr_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://item.taobao.com/item.htm?id=612665110160&ns=1&abbucket=16#detail
弘模心肺复苏模拟人全半身CPR急救训练橡皮人体模型胸外按压操作医学用教学假人工呼吸模拟人除颤仪,上海,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2212467702729/O1CN013Xwk331W1vZK3wcvp_!!0-item_pic.jpg_360x360Q90.jpg_.webp,https://detail.tmall.com/item.htm?id=654958904609&ns=1&abbucket=16
