topic,comment,agree number
"为毛要邀请我回答这种问题？
我是正经医生，不开车的(๑˙ー˙๑)
自己看图啊——

CPR按压部位在胸骨，带不带文胸都不影响的。
而且我可以告诉你，正真抢救病人的时候，脑子会进入…贤者时间的…
(๑•̀ㅂ•́) ✧
哪怕倒在地上的是一个巨乳妹子，你都不会有什么邪念的，真的。
救命的时候，你就是圣人啊~","薛定谔的巨乳妹子:处于妹子与尸体的中间状态，如果不动色心抢救可能还是巨乳妹子，如果动色心延误抢救则可能成为巨乳尸体。海森堡活不准原理我觉得解开的话应该更加不方便吧……按压的时候动来动去的多麻烦…有影响的吧，毕竟，如果是有带钢圈的内衣，你压下去就很可能压到钢圈使得钢圈刺向皮肤甚至更往内，造成二次伤害吧具体问题 具体分析圣贤时间确实存在，主要是巨乳妹子是否会变成尸体还要进行一次脑内判定，哪怕是有一定概率可能变成尸体，都会使人产生本能的趋利避害，这种深层的危机感碾压了繁殖欲望。标准强度频率按个五分钟就累得无心他想了...然而有时一按30分钟……有替换还好，没人替，按得升天ˊ_>ˋ.....玄学不可说，抢救记录不可秀，但你家那位可是结结实实30分钟按回来过一个的你按过几个？我还没按过呢旁观的人，小人多啊。论单手解bra的终于性论随身带小刀的重要性按理说实施CPR的时候都要把衣服脱了——bra……不会影响急救么？论前扣式的重要性（逃大致解开紧的外衣就可以了，抓紧时间CPR才是主要的，你以为解一个胸罩那么快啊都cpr了要么直接扯断 要么上剪刀那东西可不是那么容易扯断的啪啪啪
肋骨断了几根
我也不开车但是…胸骨不是在沟的深面么…⊙▽⊙哦哦，我又摸了一下，是的好像是沟的深面额😓其实，也不能说贤不贤者时间的，因为做CPR是一件足够难的事情，整个过程精神高度集中，那有时间想那个同意，都急的想着怎么才能救人，谁还有心思想那些怎么说呢，如果太软了按不下去怎么办都CPR了，还能考虑其他？贤者时间好最后一句暴露了主要是解开有助于呼吸啊，本身就剩一口气了，还勒着bra在一定程度上还是会影响胸壁回弹的。去年在考AHA的BLS证时我问过这个问题，还是要解开的。好像暴露了老司机奇怪的关注点……我们上课学临床技能的时候有说是要解的，但是我想知道的是临床上实际操作的时候解不解呢？解开扣子也不是那么快的事情，身边又不可能时刻有剪刀，如果真的在大街上或者其他医院外的场景下碰到需要立刻进行心肺复苏的女性，实际操作上是解还是不解呢？",283
"设定：
在地铁站发现一美女突然昏倒
先呼救，确定人没有呼吸和脉搏了和意识，打120
把人平放在平整的坚硬平面上（地面）
解开衣物，包括bra，那种聚拢型的一定一定一定解开，把背后的金属扣移开。。
然后按压剑突上3横指的位置。不要担心胸大还是胸小。。胸小不碍事。。胸大会摊开偏向外侧，基本不影响按压。垂直按压，不小于100次每分，深度要足够5cm左右。每30次，捏2次球囊。或者捏住鼻子对着嘴吹气2次，要看见胸廓被吹起来。。（嗯，顾不上口臭，牙垢，牙结石，幽门螺杆菌，梅毒螺旋体，艾滋病毒等等了。）
重复直到AED拿出来，或者心跳恢复。
另外，要使用AED的话 更要注意取掉晕倒者身上的金属物品。。钢圈，金属扣，以及其他金属饰物
看完是不是觉得完全开不起车(^_-)而是想漱口？。。
嗯 老司机常备一层膜

我们的目标是和谐口对口。。自己的安全在第一位(^_-)",,55
"要把bra脱掉，为了后续用AED方便，因为AED需要裸露的皮肤且避免金属导电。
但是要注意保护隐私，比如用保温毯等遮住。",急救课上有一项就是人文关怀(˶‾᷄ ⁻̫ ‾᷅˵)做完CPR后一定要把人家衣服盖好，注意保护隐私到时候人没还救活之前，家属就冲过来跟你拼了别老想这么悲观，万一成就了一段姻缘呢没告你猥琐不错了。你好，特别想学习急救知识，本地没有专业机构，贵机构有全国各地做巡回的培训打算吗？可以回家看看自己媳妇的Bra钢圈到底在哪里，都是贴着肉的吗？导电？！,14
看来只有我是剪开的哈哈哈哈,Emergency Medical Service 帮我寄个快递，哈哈哈中国邮政：什么情况！但是一般人好像不会随身带纱布剪刀什么的啊😂为什么我会带呢🤔,3
指南上是要求解开的，包括纽扣，拉链，项链，带钢圈的文胸等硬物。,,1
两乳头中点是CPR按压点，胸罩并不妨碍,那是男性，女性是剑突上两横指。因为男性乳房一般不太大，也不容易下垂，为了方便才这么说的吧没搞懂究竟该按压哪里？你确定？这不是按的问题，是太束缚，影响胸部回弹，也怕钢圈扎入身体！后期的AED怎么办呢 还不脱？胸部下垂的怎么判断？？如果穿的是抹胸呢？至今没遇见过穿抹胸的…,
"讲一个真实的事情:
我这边有个医院的外科主任有一天开车撞到一个农村妇女，不知道是撞晕了还是怎么了，于是外科主任上去就要做cpr，胸罩怎么办呢？外科主任也不含糊，直接一把扯了，这时候不知道是扯的东西太用力还是其他某些原因，妇女醒了，然后外科主任就悲剧了，挨了几个大嘴巴子不说，还被妇女大喊称为流氓。","。这个是因为cpr的适应症没选好。。确定心跳呼吸意识消失。。跳的好好的会被按死估计当时他也慌了死不了，哈哈，不过会按的很难受。当年急救中心培训CPR的时候，CPR前是要先按劲动脉看看有没有心跳，没有再按，有心跳就看有没有呼吸真的好悲吹划重点：先要确认无意识、呼吸心跳停止再启动心肺复苏！还是要解开吧，都CPR了，跑不了的要除颤，穿着bra怎么除啊。
再有，内衣都特别紧，CPR的时候胸廓回弹没法保证，胸腔内负压下降，CPR的效果会很受影响的吧哈哈哈哈哈哈哈哈哈 对不起我笑了可是带胸罩也不影响做cpr啊
为毛要扯。。。。　o(#￣▽￣)==O))￣0￣"")o聚拢确实会。哇，聚拢bra你都知道，厉害了。………………",17
"我。。。有疑问。。。
做CPR之前不是摆正姿势，解开衣领，解开裤带。。女性解开bra么？
而且如果真遇到，你压根就不会在意这些。。
先活人，先救命。",嗯，摸摸头(っ'ω')っ只是解开衣领和裤带，不是脱衣服啊喂。。。嗯，摸摸头(っ'ω')っ，话说，为何要脱衣服，不是衣服不太紧就可以了吗？我没说脱衣服啊cpr哦，脱衣服干嘛,3
上急救课老师难道没有告诉你做CPR的时候要先弄光嘛 ♂️,,
"没用的，该按断肋骨还是会按断。

抢救时肯定要剪开的。",,
